session_guid,lap_index,turn,corner_name,entry_speed,apex_speed,exit_speed,speed_drop,max_lat_g,max_brake,max_throttle,min_accel_g
49286453-273d-48c3-a124-51a51221c1f6,0,T1,Horse Shoe,23.354409408569335,20.699607849121094,23.50051383972168,2.6548015594482415,0.0864584818482399,5.669064998626709,0.5491238236427307,-0.2305552065372467
49286453-273d-48c3-a124-51a51221c1f6,0,T2-T3,Connectors,25.453590393066406,20.699607849121094,32.342305755615236,4.7539825439453125,0.09269329905509949,5.7048020362854,0.5546075105667114,-0.2305552065372467
49286453-273d-48c3-a124-51a51221c1f6,0,T4,NASCAR Bend,27.843643951416016,27.822731018066406,29.294422149658203,0.020912933349610086,0.16275586187839508,0.6225473880767822,0.5541219711303711,0.0245550274848938
49286453-273d-48c3-a124-51a51221c1f6,0,T5a-T5b,Snake Entry,21.84025650024414,21.013059616088867,22.875001525878908,0.8271968841552741,0.14944888651371002,1.449779748916626,0.5709990859031677,0.09084106236696243
49286453-273d-48c3-a124-51a51221c1f6,0,T6a-T6b,Snake Exit,25.66855125427246,25.50862693786621,27.28237838745117,0.1599243164062507,0.09758449345827103,5.883188724517822,0.5696045160293579,-0.3287385404109955
49286453-273d-48c3-a124-51a51221c1f6,0,T7,Climbing Esses,30.946697998046876,30.406631469726562,31.657163238525392,0.5400665283203132,0.12539522349834442,5.931670188903809,0.5680494904518127,-0.2265431135892868
49286453-273d-48c3-a124-51a51221c1f6,0,T8a-T8b,Climbing Esses 2,38.439413452148436,38.17706298828125,38.72309036254883,0.2623504638671861,0.10261586308479309,0.40615761280059814,0.5908598303794861,0.06228378415107727
49286453-273d-48c3-a124-51a51221c1f6,0,T9,Esses Exit,33.99874496459961,19.674768447875977,27.6334228515625,14.323976516723633,0.11942380666732788,5.612362384796143,0.5999809503555298,-0.23300807178020477
49286453-273d-48c3-a124-51a51221c1f6,0,T10,South Bend,31.808575057983397,19.674768447875977,25.89749221801758,12.13380661010742,0.11942380666732788,5.612362384796143,0.5999809503555298,-0.23300807178020477
49286453-273d-48c3-a124-51a51221c1f6,0,T11,Oak Tree Entry,31.278152847290038,19.674768447875977,25.65890121459961,11.603384399414061,0.11942380666732788,5.612362384796143,0.5999809503555298,-0.23300807178020477
49286453-273d-48c3-a124-51a51221c1f6,0,T12,Oak Tree,21.501485443115236,20.62322998046875,26.845148849487305,0.8782554626464858,0.10816963016986847,5.6287384033203125,0.5676610469818115,-0.23079752922058105
49286453-273d-48c3-a124-51a51221c1f6,0,T13,RC Entry,25.70696601867676,20.62322998046875,33.143286895751956,5.083736038208009,0.204573392868042,5.6287384033203125,0.5679799318313599,-0.23079752922058105
49286453-273d-48c3-a124-51a51221c1f6,0,T14,Roller Coaster,31.878533172607423,31.20335578918457,33.174598693847656,0.6751773834228523,0.07035351544618607,5.893258571624756,0.5743180513381958,-0.26389744877815247
49286453-273d-48c3-a124-51a51221c1f6,0,T15,RC Exit,51.33726406097412,51.31843185424805,51.93702507019043,0.01883220672607422,0.08476287126541138,2.0986270904541016,0.5905538201332092,-0.05500060319900513
49286453-273d-48c3-a124-51a51221c1f6,1,T1,Horse Shoe,23.354010772705077,21.658676147460938,23.644969940185547,1.69533462524414,0.0944887176156044,5.718273162841797,0.4666549265384674,-0.23681987822055817
49286453-273d-48c3-a124-51a51221c1f6,1,T2-T3,Connectors,25.816201782226564,21.658676147460938,32.34083480834961,4.157525634765626,0.0944887176156044,5.851744174957275,0.48265546560287476,-0.23681987822055817
49286453-273d-48c3-a124-51a51221c1f6,1,T4,NASCAR Bend,27.864758682250976,27.857872009277344,29.548812103271484,0.006886672973632102,0.17929953336715698,0.7064409255981445,0.5360150933265686,0.05381673574447632
49286453-273d-48c3-a124-51a51221c1f6,1,T5a-T5b,Snake Entry,22.04424705505371,20.79897689819336,23.026481246948244,1.2452701568603501,0.17097541689872742,1.7048791646957397,0.5853585004806519,0.07808875292539597
49286453-273d-48c3-a124-51a51221c1f6,1,T6a-T6b,Snake Exit,26.041619491577148,25.83734130859375,26.423231887817384,0.20427818298339773,0.10630284249782562,5.968974590301514,0.5658671855926514,-0.3333280682563782
49286453-273d-48c3-a124-51a51221c1f6,1,T7,Climbing Esses,30.509161376953124,29.816078186035156,31.072494506835938,0.6930831909179673,0.13086315989494324,6.277271747589111,0.5555576682090759,-0.23312842845916748
49286453-273d-48c3-a124-51a51221c1f6,1,T8a-T8b,Climbing Esses 2,37.541011047363284,37.23790740966797,37.9135383605957,0.30310363769531534,0.1091645285487175,0.3265894055366516,0.5593740344047546,0.056479617953300476
49286453-273d-48c3-a124-51a51221c1f6,1,T9,Esses Exit,35.30225143432617,19.910459518432617,27.717671966552736,15.391791915893556,0.12997090816497803,5.814903259277344,0.5939569473266602,-0.23731443285942078
49286453-273d-48c3-a124-51a51221c1f6,1,T10,South Bend,33.25471115112305,19.910459518432617,25.80596351623535,13.34425163269043,0.12997090816497803,5.814903259277344,0.5939569473266602,-0.23731443285942078
49286453-273d-48c3-a124-51a51221c1f6,1,T11,Oak Tree Entry,33.001766967773435,19.910459518432617,25.67002716064453,13.091307449340817,0.12997090816497803,5.814903259277344,0.5939569473266602,-0.23731443285942078
49286453-273d-48c3-a124-51a51221c1f6,1,T12,Oak Tree,21.51987190246582,21.01201820373535,26.06950263977051,0.507853698730468,0.16827604174613953,6.068376541137695,0.5133987069129944,-0.29704582691192627
49286453-273d-48c3-a124-51a51221c1f6,1,T13,RC Entry,24.39109649658203,21.01201820373535,31.405029678344725,3.3790782928466783,0.20596204698085785,6.068376541137695,0.5133987069129944,-0.29704582691192627
49286453-273d-48c3-a124-51a51221c1f6,1,T14,Roller Coaster,29.139665603637695,28.675399780273438,31.575614166259765,0.4642658233642578,0.09410141408443451,5.719348430633545,0.5153698921203613,-0.27932706475257874
49286453-273d-48c3-a124-51a51221c1f6,1,T15,RC Exit,50.97270393371582,50.9492073059082,51.51566123962402,0.023496627807617188,0.0870710089802742,2.0904548168182373,0.5450067520141602,-0.05690378323197365
49286453-273d-48c3-a124-51a51221c1f6,2,T1,Horse Shoe,23.055888366699218,20.78870391845703,23.946533584594725,2.267184448242187,0.11371669173240662,6.097829341888428,0.511099636554718,-0.25158682465553284
49286453-273d-48c3-a124-51a51221c1f6,2,T2-T3,Connectors,25.36776123046875,20.78870391845703,32.35675964355469,4.57905731201172,0.11371669173240662,6.097829341888428,0.5151729583740234,-0.25158682465553284
49286453-273d-48c3-a124-51a51221c1f6,2,T4,NASCAR Bend,27.42800827026367,27.39792251586914,29.097259521484375,0.03008575439453054,0.17307639122009277,0.8862067461013794,0.517000138759613,0.014941412024199963
49286453-273d-48c3-a124-51a51221c1f6,2,T5a-T5b,Snake Entry,21.46494903564453,20.435518264770508,22.66802101135254,1.029430770874022,0.15655018389225006,1.3468397855758667,0.5291574001312256,0.08755303174257278
