session_guid,lap_index,dist_m,speed_f4,throttle_f7,brake_f9,accel_g_f12,lat_g_f13,heading_f8
49286453-273d-48c3-a124-51a51221c1f6,0,0,52.056556701660156,0.5757616758346558,1.7344189882278442,-0.03738633915781975,-0.04536592587828636,74.20698547363281
49286453-273d-48c3-a124-51a51221c1f6,0,100,53.24791717529297,0.5809965133666992,1.4005151987075806,0.019369034096598625,-0.020934905856847763,74.8187255859375
49286453-273d-48c3-a124-51a51221c1f6,0,150,53.87390899658203,0.5806580185890198,1.4846599102020264,-0.008675984106957912,-0.034061796963214874,74.46742248535156
49286453-273d-48c3-a124-51a51221c1f6,0,200,54.446109771728516,0.5744112730026245,0.19233281910419464,-0.004196346737444401,0.0027325269766151905,73.84487915039062
49286453-273d-48c3-a124-51a51221c1f6,0,250,50.87154006958008,0.5718879699707031,-9.017651557922363,-0.0018343948759138584,-0.02854337729513645,72.9051513671875
49286453-273d-48c3-a124-51a51221c1f6,0,300,40.59010314941406,0.5682910084724426,-9.708749771118164,0.008342302404344082,-0.059661172330379486,72.2341079711914
49286453-273d-48c3-a124-51a51221c1f6,0,350,26.539426803588867,0.5558581948280334,-2.305975914001465,-0.12205994874238968,0.00686555914580822,72.31538391113281
49286453-273d-48c3-a124-51a51221c1f6,0,400,20.705209732055664,0.5259130001068115,3.1838371753692627,-0.2075965404510498,0.06797244399785995,72.00778198242188
49286453-273d-48c3-a124-51a51221c1f6,0,450,23.497344970703125,0.5338535904884338,5.578391075134277,-0.13880975544452667,0.022836970165371895,71.80115509033203
49286453-273d-48c3-a124-51a51221c1f6,0,500,27.86725616455078,0.5383920073509216,5.297621726989746,-0.1510223001241684,0.042653393000364304,72.02606964111328
49286453-273d-48c3-a124-51a51221c1f6,0,550,31.682390213012695,0.5461643934249878,4.801662921905518,-0.09560566395521164,-0.003605565521866083,72.1709213256836
49286453-273d-48c3-a124-51a51221c1f6,0,550,31.75934410095215,0.5461949706077576,4.776533603668213,-0.09369895607233047,0.0007510158466175199,72.16791534423828
49286453-273d-48c3-a124-51a51221c1f6,0,600,35.23575973510742,0.5498446226119995,2.287487268447876,0.002224850933998823,-0.03016204759478569,72.07332611083984
49286453-273d-48c3-a124-51a51221c1f6,0,650,37.594024658203125,0.5456091165542603,0.9396407604217529,0.03890646621584892,-0.042004890739917755,72.2088851928711
49286453-273d-48c3-a124-51a51221c1f6,0,650,37.64100646972656,0.5455296039581299,0.8733672499656677,0.03918780758976936,-0.04337482899427414,72.21797943115234
49286453-273d-48c3-a124-51a51221c1f6,0,700,39.2390251159668,0.5413235425949097,-1.372755765914917,0.11124099045991898,-0.07610852271318436,72.53355407714844
49286453-273d-48c3-a124-51a51221c1f6,0,750,36.83137512207031,0.5511458516120911,-6.730042457580566,0.05712577700614929,-0.0495358482003212,72.93775939941406
49286453-273d-48c3-a124-51a51221c1f6,0,800,27.958784103393555,0.5596280097961426,-1.7696106433868408,0.1399799883365631,-0.07691441476345062,73.56977081298828
49286453-273d-48c3-a124-51a51221c1f6,0,800,27.91429901123047,0.5597985982894897,-1.6060175895690918,0.14236319065093994,-0.07931260019540787,73.58895111083984
49286453-273d-48c3-a124-51a51221c1f6,0,850,28.592809677124023,0.552329957485199,0.14593274891376495,0.09820416569709778,-0.010729131288826466,73.796875
49286453-273d-48c3-a124-51a51221c1f6,0,900,30.922775268554688,0.5532121062278748,0.7871401309967041,0.11989814788103104,-0.0630442425608635,74.45808410644531
49286453-273d-48c3-a124-51a51221c1f6,0,950,33.742801666259766,0.5594750046730042,2.2748286724090576,-0.007676786743104458,-0.036540739238262177,75.45048522949219
49286453-273d-48c3-a124-51a51221c1f6,0,1050,21.66214942932129,0.5691763758659363,0.5354813933372498,0.12987732887268066,-0.04974258691072464,76.57649230957031
49286453-273d-48c3-a124-51a51221c1f6,0,1100,26.04575538635254,0.569004476070404,3.3878109455108643,-0.12289510667324066,0.06304378807544708,76.62459564208984
49286453-273d-48c3-a124-51a51221c1f6,0,1150,28.026918411254883,0.5667949318885803,5.123587131500244,-0.08782913535833359,0.0037327490281313658,75.64140319824219
49286453-273d-48c3-a124-51a51221c1f6,0,1250,30.98810577392578,0.5663439631462097,5.63551139831543,-0.09890517592430115,-0.01676689274609089,74.35734558105469
49286453-273d-48c3-a124-51a51221c1f6,0,1300,34.2188835144043,0.5598018765449524,1.9001035690307617,0.0002906646113842726,-0.011136588640511036,75.01626586914062
49286453-273d-48c3-a124-51a51221c1f6,0,1350,36.830101013183594,0.5641453266143799,1.2630946636199951,-0.06848940253257751,-0.012297475710511208,74.98959350585938
49286453-273d-48c3-a124-51a51221c1f6,0,1400,39.204036712646484,0.5652984380722046,2.2652621269226074,0.04122612997889519,-0.014062721282243729,75.46218872070312
49286453-273d-48c3-a124-51a51221c1f6,0,1400,39.24824142456055,0.5652676224708557,2.2085368633270264,0.04364815354347229,-0.015120089054107666,75.48229217529297
49286453-273d-48c3-a124-51a51221c1f6,0,1450,41.11363220214844,0.5688447952270508,1.1195186376571655,0.0639534443616867,-0.11115805059671402,76.02191925048828
49286453-273d-48c3-a124-51a51221c1f6,0,1500,42.95737838745117,0.5768829584121704,1.773594856262207,-0.020799437537789345,-0.01745341718196869,76.52220916748047
49286453-273d-48c3-a124-51a51221c1f6,0,1550,44.55502700805664,0.5825124382972717,2.0623557567596436,-0.039925143122673035,-0.037410199642181396,76.77214813232422
49286453-273d-48c3-a124-51a51221c1f6,0,1600,45.83641815185547,0.5902004241943359,0.9326927065849304,0.008995629847049713,-0.04443781077861786,77.20883178710938
49286453-273d-48c3-a124-51a51221c1f6,0,1650,46.62260818481445,0.6012291312217712,1.6768051385879517,-0.04229637607932091,0.008111474104225636,77.78913116455078
49286453-273d-48c3-a124-51a51221c1f6,0,1650,46.63029479980469,0.601764976978302,1.6701523065567017,-0.04239696264266968,0.008585010655224323,77.8017349243164
49286453-273d-48c3-a124-51a51221c1f6,0,1700,47.451053619384766,0.6372255682945251,1.4074647426605225,-0.0044794646091759205,-0.07393230497837067,78.07996368408203
49286453-273d-48c3-a124-51a51221c1f6,0,1750,48.36619186401367,0.6437676548957825,1.1703325510025024,-0.004726838786154985,-0.025538919493556023,78.38842010498047
49286453-273d-48c3-a124-51a51221c1f6,0,1800,49.23408889770508,0.6470277309417725,0.8622166514396667,0.02985139563679695,-0.06668684631586075,78.81285095214844
49286453-273d-48c3-a124-51a51221c1f6,0,1900,49.86138153076172,0.6390654444694519,-0.6820721626281738,0.11061079055070877,-0.09444184601306915,80.18843078613281
49286453-273d-48c3-a124-51a51221c1f6,0,1950,49.33283233642578,0.6284564137458801,0.8556686639785767,-0.0753658190369606,-0.01263392437249422,80.86317443847656
49286453-273d-48c3-a124-51a51221c1f6,0,2000,48.341773986816406,0.6202603578567505,1.5109996795654297,0.04714980348944664,0.024967748671770096,82.68143463134766
49286453-273d-48c3-a124-51a51221c1f6,0,2050,48.00090789794922,0.6261075735092163,0.45400726795196533,0.02626410685479641,-0.06036762520670891,84.25981140136719
49286453-273d-48c3-a124-51a51221c1f6,0,2100,48.071502685546875,0.6249646544456482,0.11454479396343231,0.051645997911691666,-0.08846454322338104,85.6282958984375
49286453-273d-48c3-a124-51a51221c1f6,0,2150,47.587364196777344,0.6154721975326538,2.1203062534332275,-0.0716242864727974,-0.012037220411002636,88.53675842285156
49286453-273d-48c3-a124-51a51221c1f6,0,2200,47.50636672973633,0.6177616119384766,3.6679818630218506,-0.08243463188409805,-0.038222067058086395,91.40869903564453
49286453-273d-48c3-a124-51a51221c1f6,0,2250,47.27088165283203,0.6080590486526489,3.194533348083496,-0.094969242811203,0.02239176817238331,94.61852264404297
49286453-273d-48c3-a124-51a51221c1f6,0,2300,47.32087707519531,0.5953200459480286,-4.108556270599365,0.014159362763166428,0.026349302381277084,97.20707702636719
49286453-273d-48c3-a124-51a51221c1f6,0,2300,47.261695861816406,0.5949850082397461,-4.4043402671813965,0.01620272733271122,0.027637219056487083,97.2276840209961
49286453-273d-48c3-a124-51a51221c1f6,0,2350,39.629432678222656,0.5868436694145203,-2.499479293823242,0.02614637278020382,-0.07203328609466553,98.4071044921875
49286453-273d-48c3-a124-51a51221c1f6,0,2400,38.19839096069336,0.5907582640647888,-0.3063857853412628,0.11330031603574753,-0.06211220473051071,99.75800323486328
49286453-273d-48c3-a124-51a51221c1f6,0,2450,39.39025115966797,0.5865368843078613,0.5299966335296631,0.049437664449214935,-0.014864694327116013,101.29104614257812
49286453-273d-48c3-a124-51a51221c1f6,0,2500,41.388282775878906,0.5835779905319214,1.6026630401611328,0.06934420764446259,0.014343120157718658,100.99021911621094
49286453-273d-48c3-a124-51a51221c1f6,0,2550,43.78106689453125,0.5858487486839294,2.00777268409729,-0.0068181296810507774,-0.06860724091529846,98.27493286132812
49286453-273d-48c3-a124-51a51221c1f6,0,2550,43.72987365722656,0.5858355164527893,1.9843913316726685,-0.0017868075519800186,-0.07320564985275269,98.31951141357422
49286453-273d-48c3-a124-51a51221c1f6,0,2600,45.99590301513672,0.5840328931808472,3.436896324157715,-0.041181810200214386,-0.12214164435863495,97.64082336425781
49286453-273d-48c3-a124-51a51221c1f6,0,2650,44.333351135253906,0.5840338468551636,-7.924252510070801,0.015021857805550098,0.011337853036820889,100.1411361694336
49286453-273d-48c3-a124-51a51221c1f6,0,2650,44.147247314453125,0.5842103362083435,-8.145177841186523,0.015245635062456131,0.0028455969877541065,100.20663452148438
49286453-273d-48c3-a124-51a51221c1f6,0,2700,30.748048782348633,0.587493896484375,-5.254828453063965,-0.06636252254247665,-0.027277138084173203,103.462890625
49286453-273d-48c3-a124-51a51221c1f6,0,2750,24.237285614013672,0.5917656421661377,2.395404577255249,-0.08126093447208405,0.03390958532691002,107.0091552734375
49286453-273d-48c3-a124-51a51221c1f6,0,2800,19.97929573059082,0.5895664691925049,4.622945308685303,-0.22783027589321136,0.09568614512681961,108.85211181640625
49286453-273d-48c3-a124-51a51221c1f6,0,2850,24.53061866760254,0.5955365896224976,4.632046699523926,-0.09529246389865875,0.020910147577524185,107.95445251464844
49286453-273d-48c3-a124-51a51221c1f6,0,2900,30.504356384277344,0.5920793414115906,2.84731125831604,0.003397882217541337,-0.08724477142095566,104.9130859375
49286453-273d-48c3-a124-51a51221c1f6,0,2950,34.98949432373047,0.5854163765907288,2.418485164642334,-0.0021185337100178003,-0.03780583292245865,103.00017547607422
49286453-273d-48c3-a124-51a51221c1f6,0,3000,38.284175872802734,0.5826953053474426,1.9268245697021484,-0.005884687881916761,-0.041783735156059265,101.55696105957031
49286453-273d-48c3-a124-51a51221c1f6,0,3050,40.66785430908203,0.5829218029975891,2.0114359855651855,-0.005097516812384129,-0.03555022180080414,100.55577850341797
49286453-273d-48c3-a124-51a51221c1f6,0,3100,42.88296127319336,0.5827273726463318,1.9058315753936768,-0.007842912338674068,-0.04156149923801422,99.8106460571289
49286453-273d-48c3-a124-51a51221c1f6,0,3150,44.74199295043945,0.5846529603004456,1.473162055015564,0.015300409868359566,-0.03069957345724106,98.82371520996094
