session_guid,session_start,config,best_lap_ms,weather,temperature_c,humidity_pct,wind_speed_mps,wind_direction_deg
49286453-273d-48c3-a124-51a51221c1f6,2026-05-24 16:15:34,Full Course,134500,Cloudy,21.11111111111111,78.0,4.82802,0.0
983fe6a8-4800-4e1d-974a-40008092027a,2026-05-24 14:21:16,Full Course,138205,Cloudy,18.88888888888889,83.0,4.82802,60.0
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2026-05-24 11:34:14,Full Course,136037,Cloudy,17.22222222222222,83.0,4.82802,0.0
