session_guid,lap_index,segment_id,start_m,end_m,split_sec
49286453-273d-48c3-a124-51a51221c1f6,6,6,2574,3866,30.910058153209093
49286453-273d-48c3-a124-51a51221c1f6,6,7,3836,4203,9.830602363130753
49286453-273d-48c3-a124-51a51221c1f6,6,8,4203,4345,4.128308902265774
49286453-273d-48c3-a124-51a51221c1f6,6,9,4304,4482,3.6302619360964803
49286453-273d-48c3-a124-51a51221c1f6,6,10,4482,5255,17.720344553959634
49286453-273d-48c3-a124-51a51221c1f6,7,1,0,651,18.13957141281159
49286453-273d-48c3-a124-51a51221c1f6,7,2,621,918,8.292518404283383
49286453-273d-48c3-a124-51a51221c1f6,7,3,871,1092,6.542394990934776
49286453-273d-48c3-a124-51a51221c1f6,7,4,1092,2282,28.493860606397295
49286453-273d-48c3-a124-51a51221c1f6,7,5,2252,2604,7.67516572531722
49286453-273d-48c3-a124-51a51221c1f6,7,6,2574,3866,31.354951503929716
49286453-273d-48c3-a124-51a51221c1f6,7,7,3836,4203,9.754495316091013
49286453-273d-48c3-a124-51a51221c1f6,7,8,4203,4345,4.131749430907222
49286453-273d-48c3-a124-51a51221c1f6,7,9,4304,4482,3.610075081104282
49286453-273d-48c3-a124-51a51221c1f6,7,10,4482,5255,17.94521752822338
983fe6a8-4800-4e1d-974a-40008092027a,0,1,0,651,18.645621361356714
983fe6a8-4800-4e1d-974a-40008092027a,0,2,621,918,8.25119351167925
983fe6a8-4800-4e1d-974a-40008092027a,0,3,871,1092,6.802118891369431
983fe6a8-4800-4e1d-974a-40008092027a,0,4,1092,2282,28.59884632337599
983fe6a8-4800-4e1d-974a-40008092027a,0,5,2252,2604,7.697923223445493
983fe6a8-4800-4e1d-974a-40008092027a,0,6,2574,3866,32.00964389686996
983fe6a8-4800-4e1d-974a-40008092027a,0,7,3836,4203,10.082811777632756
983fe6a8-4800-4e1d-974a-40008092027a,0,8,4203,4345,4.275874722665001
983fe6a8-4800-4e1d-974a-40008092027a,0,9,4304,4482,3.779090205610362
983fe6a8-4800-4e1d-974a-40008092027a,0,10,4482,5255,18.298876085994902
983fe6a8-4800-4e1d-974a-40008092027a,1,1,0,651,18.546943877452566
983fe6a8-4800-4e1d-974a-40008092027a,1,2,621,918,8.33176361681597
983fe6a8-4800-4e1d-974a-40008092027a,1,3,871,1092,6.902856936868438
983fe6a8-4800-4e1d-974a-40008092027a,1,4,1092,2282,28.462976030634174
983fe6a8-4800-4e1d-974a-40008092027a,1,5,2252,2604,7.608227913827441
983fe6a8-4800-4e1d-974a-40008092027a,1,6,2574,3866,32.04790145375559
983fe6a8-4800-4e1d-974a-40008092027a,1,7,3836,4203,10.007839193207245
983fe6a8-4800-4e1d-974a-40008092027a,1,8,4203,4345,4.260383652581881
983fe6a8-4800-4e1d-974a-40008092027a,1,9,4304,4482,3.8356846357098817
983fe6a8-4800-4e1d-974a-40008092027a,1,10,4482,5255,18.479422689146887
983fe6a8-4800-4e1d-974a-40008092027a,2,1,0,651,18.65897438577448
983fe6a8-4800-4e1d-974a-40008092027a,2,2,621,918,8.143209995133073
983fe6a8-4800-4e1d-974a-40008092027a,2,3,871,1092,6.695278604114309
983fe6a8-4800-4e1d-974a-40008092027a,2,4,1092,2282,28.461397750611773
983fe6a8-4800-4e1d-974a-40008092027a,2,5,2252,2604,7.715536511720068
983fe6a8-4800-4e1d-974a-40008092027a,2,6,2574,3866,32.20600069810286
983fe6a8-4800-4e1d-974a-40008092027a,2,7,3836,4203,10.06981111190125
983fe6a8-4800-4e1d-974a-40008092027a,2,8,4203,4345,4.253534718117565
983fe6a8-4800-4e1d-974a-40008092027a,2,9,4304,4482,3.825496006140245
983fe6a8-4800-4e1d-974a-40008092027a,2,10,4482,5255,18.175760218384717
983fe6a8-4800-4e1d-974a-40008092027a,3,1,0,651,18.62222178388692
983fe6a8-4800-4e1d-974a-40008092027a,3,2,621,918,8.247207087035445
983fe6a8-4800-4e1d-974a-40008092027a,3,3,871,1092,6.769190228377903
983fe6a8-4800-4e1d-974a-40008092027a,3,4,1092,2282,28.74605210926663
983fe6a8-4800-4e1d-974a-40008092027a,3,5,2252,2604,7.790393024982846
983fe6a8-4800-4e1d-974a-40008092027a,3,6,2574,3866,31.89075190420212
983fe6a8-4800-4e1d-974a-40008092027a,3,7,3836,4203,10.335046257939384
983fe6a8-4800-4e1d-974a-40008092027a,3,8,4203,4345,4.790188198318047
983fe6a8-4800-4e1d-974a-40008092027a,3,9,4304,4482,4.538720092411416
983fe6a8-4800-4e1d-974a-40008092027a,3,10,4482,5255,19.30522931357907
983fe6a8-4800-4e1d-974a-40008092027a,4,1,0,651,18.9202940970762
983fe6a8-4800-4e1d-974a-40008092027a,4,2,621,918,8.397659645374814
983fe6a8-4800-4e1d-974a-40008092027a,4,3,871,1092,6.898033573064215
983fe6a8-4800-4e1d-974a-40008092027a,4,4,1092,2282,28.787292288245485
983fe6a8-4800-4e1d-974a-40008092027a,4,5,2252,2604,7.709541180617867
983fe6a8-4800-4e1d-974a-40008092027a,4,6,2574,3866,31.98298082027062
983fe6a8-4800-4e1d-974a-40008092027a,4,7,3836,4203,10.088984038365947
983fe6a8-4800-4e1d-974a-40008092027a,4,8,4203,4345,4.275794503019909
983fe6a8-4800-4e1d-974a-40008092027a,4,9,4304,4482,3.6558090863000494
983fe6a8-4800-4e1d-974a-40008092027a,4,10,4482,5255,18.025610767665675
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,1,0,651,18.243789049233655
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,2,621,918,8.346466064019747
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,3,871,1092,6.578167898318846
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,4,1092,2282,28.468073888945288
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,5,2252,2604,7.626110865468619
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,6,2574,3866,31.099849799118378
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,7,3836,4203,10.080710565558183
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,8,4203,4345,4.137494090560403
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,9,4304,4482,3.770504425210227
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,0,10,4482,5255,17.88583335356655
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,1,0,651,18.246998766053746
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,2,621,918,8.458626547659158
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,3,871,1092,6.6896608683610435
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,4,1092,2282,28.57312153429487
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,5,2252,2604,7.551164857721432
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,6,2574,3866,30.95992330901814
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,7,3836,4203,10.156499189818433
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,8,4203,4345,4.137750349576458
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,9,4304,4482,3.797486036969155
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,1,10,4482,5255,17.665768540527022
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,1,0,651,18.165710505681684
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,2,621,918,8.219214073052761
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,3,871,1092,6.465818505155112
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,4,1092,2282,28.209558407476255
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,5,2252,2604,7.659095815719606
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,6,2574,3866,31.03220362243139
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,7,3836,4203,9.990492171625585
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,8,4203,4345,4.112032453392573
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,9,4304,4482,3.7259193877585455
615bdd93-2b9c-4a4e-adb1-2bb05bd058fd,2,10,4482,5255,18.456955057706338
